CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
"Yew bush, yew tree, yew shrub",Taxus,Taxaceaev,Perennial,"4 to 60 feet tall, 4 to 20 feet wide, depending on the variety","Full, partial, shade","Loamy, moist, well-drained",Neutral (5.0 to 7.0),Nonflowering,Nonflowering,Zones 2 to 10 (USDA),Null,Toxic to people and pets34,"Europe, Africa, Asia",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/japanese-yews-and-english-yew-bushes-2132068,"Yew prefers a moderate amount of soil moisture, yet it tolerates short periods of drought or overwatering, as long as the roots are not left standing in water. When establishing yew during the first year, water it weekly to maintain even soil moisture. After that, weekly waterings are only needed during drought periods when natural rainfall will not provide enough moisture."
Foxtail pine,Pinus balfouriana,Null,Evergreen,"30-50 ft. tall, 10-15 ft. wide","Full, partial","Loamy, Sandy, Well-drained",Acidic,Not applicable,Not applicable,"4-7, USA",North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/foxtail-pine-growing-guide-5195321,"Foxtail pines flourish in areas with little water, making them drought-tolerant. To mimic these conditions, water deeply and infrequently, allowing the soil to dry in-between waterings. Depending on your specific climate conditions, this may be every other week or so. "
Null,Chelone obliqua,Plantaginaceae,"Herbaceous, perennial ","2–3 ft. tall, 1–2 ft. wide","Full, partial","Rich, moist","Neutral, acidic","Summer, fall","Pink, purple, white",3–9 (USDA),North America,Null,Null,Null,"Turtlehead, red turtlehead",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/chelone-growing-the-late-blooming-turtlehead-1402866,"Keep your turtlehead plants continually moist while the plants set root and throughout their growing and blooming season. As a general rule of thumb, turtlehead grows best when it gets regular water, and it is especially important during the first year as the plants establish themselves. The less water stress they suffer, the more they will thrive."
Blue ash,Fraxinus quadrangulata,Oleaceae,Deciduous tree ,"50-75 ft. tall, 25–35 ft. wide",Full,"Well-drained, sandy loam",Acidic to alkaline (5.6–8.4),"Spring, summer",Purple (not showy),Null,North America,Null,Null,Null,Null,Null,4–7 (USDA),Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/blue-ash-plant-profile-5074186,"Water your ash tree frequently when the tree is young, about 1 to 2 inches per week. As it matures, unless you are in a dry area or experiencing especially dry weather, watering should not be necessary."
"Vanilla bean orchid, vanilla",Vanilla plantifolia,Orchidaceae,"Vine, perennial","75-100 ft. long (outdoors), 8-10 ft. long (indoors)","Partial, shade","Moist, well-drained",Acidic,Spring,Yellow-green,11-12 (USDA),"North America, Caribbean, Central America",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/vanilla-orchid-care-1315974,"Watering a vanilla bean orchid means keeping both the growing medium and the wooden trellis structure damp, because the plant is developing ""air roots"" that draw moisture from the air. Allow the potting mix to dry out slightly between waterings to prevent root diseases, but maintain high humidity in the environment.2"
Goldenrod,Solidago spp.,Asteraceae,Herbaceous perennial,"1.5–5 ft. tall, 1-3 ft. wide",Full sun; partial sun,"Average to infertile, well-drained","Acidic, neutral",Summer through fall,Yellow,2a-8b (USDA),North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/goldenrod-wildflowers-2132951,"Water new goldenrod plants weekly to maintain damp, but not soggy soil. Mature goldenrod plants are drought tolerant and rarely need supplemental watering except when rainfall is scarce."
"Texas mountain laurel, Texas mescalbean, coral bean, hot bean, frigolito",Dermatophyllum secundiflorum,Fabaceae,Evergreen flowering shrub,Up to 20 feet tall,Full sun to part shade,Well drained,"Slightly alkaline, 5.4 to 6.7",March and April,Purple," 7b to 11, USA",Null," Toxic to people, toxic to pets1"," Mexico, Southwest US",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/texas-mountain-laurel-growing-guide-5215169,The Texas mountain laurel is quite drought tolerant and good for those who want low-water plants in their gardens. Overwatering can cause too-rapid growth which may cause branch formation to be weak.
"Wintersweet, Japanese allspice",Chimonanthus praecox,Calycanthaceae,Deciduous shrub,"10-15 ft. tall, 8-12 ft. wide","Full, partial","Fertile, moist but well-drained",Acidic to alkaline (6.0-8.0),Winter,Yellowish with purplish-brown centers,7-9 (USDA),China,Possibly toxic to goats 1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-wintesweet-5091598,"Water generously until established. Once established, regular watering is still needed during the summer and in cases of high temperatures or drought."
"Philodendron Brasil, variegated heart leaf philodendron ",Philodendron hederaceum ‘Brasil’,Araceae ,"Perennial, vine ","6-36 in. tall, 12-36 in. wide",Partial ,"Loamy, moist but well-drained ",Acidic ,"Spring, summer ","Green, white ","11a, 11b, 12a, 12b ",South America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/philodendron-brasil-care-guide-5204203,Allow the top 2-3 inches of soil to dry out between waterings and then water well. Philodendron Brasil are sensitive to overwatering and should never be left in soggy soil for extended periods of time. 
Crimson Queen Japanese Maple Tree,Acer palmatum var. dissectum 'Crimson Queen',Aceraceae,Tree,"8-10 ft. tall, 10-12 ft. wide","Full, partial","Sandy, loamy, moist but well-drained",Acidic,April,Red,5-9 (USDA),"Asia, Europe",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/crimson-queen-japanese-maple-trees-2132092,"Japanese maples are drought-tolerant once they have matured. However, in the beginning, they need heavy watering twice a week. If it's dry, go up to water three to four times a week until it is well-established."
"Lemon verbena, lemon beebrush, vervain",Aloysia citriodora,Verbenaceae,Tender perennial in frost-free zones,6 ft. where hardy,Full sun,Rich and moist,Slightly acidic (6.1 to 7.0),Late summer,Null,8-11 (USDA),"Argentina, Chile","Toxic to cats, dogs, and horses1",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-lemon-verbena-4690675,"Lemon verbena needs regular irrigation. A lack of water leads to plant stress, leaf drop, and insect pest infestation. Keep the surface of the soil moist, but don't oversaturate the plants; The roots do not like to stay wet. When the top two inches of soil are dry, water and aim for a moisture level that resembles a wrung-out sponge. Plants grown indoors for the winter months can be watered once a week, but may be kept on the dry side."
Japanese blood grass; cogongrass,Imperata cylindrica,Poaceae,Perennial,1 - 2 ft.,Full,Moist but well-drained,"Acidic, alkaline (6.5-7.5)",Null,Null,"5, 6, 7, 8, 9",Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/japanese-blood-grass-plant-profile-4768488,"Japanese blood grass grows vigorously in the presence of moist soils, but it tolerates drought conditions as well. Only irrigate the plant as necessary to prevent the browning of foliage."
Blackberry,Rubus Fruticosus,Null,Perennial,Null,Full sun,"Rich, well-drained loam",Slightly acidic to neutral (5.5 to 7.0),Null,Null,5–8,"North America, especially the Pacific Northwest",Null,Null,Null,Null,3–5 feet,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-and-care-for-blackberries-4589374,"Blackberries need moderate amounts of water, around 1 inch per week provided either by rainfall or from ground-level irrigation. Blackberries do not fare well in wet soils."
Air plant,Tillandsia cacticola,Null,Houseplant or annual,6 inches tall and 6 to 18 inches wide,"Bright, indirect light to full sun",Not applicable,Not applicable,"Once, when fully matured",White,9 to 11,Peru,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-tillandsia-cacticola-5085075,"The Tillandsia cacticola is more drought-resistant than other air plants.1 Even so, these plants still need a good soak every week. To determine when your air plant needs water, look for curling leaves, which is a sign that your Tillandsia cacticola needs a drink."
'Bloodgood' Japanese maple,Acer palmatum 'Bloodgood',Aceraceae,Tree,"15-20 ft. tall, 15-20 ft wide ","Full, partial","Clay, loamy, sandy, well-drained","Neutral, acidic",Summer,Null,5-8 (USDA),Asia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/bloodgood-japanese-maple-trees-2132683,"After planting the tree, water it regularly twice or three times a week in the absence of rain. Established trees only need water when the weather has been hot and dry for an extended stretch. If the soil gets too saturated, it can cause root rot."
Silver maple,Acer saccharinum,Null,Deciduous tree,"50- 80 ft. tall, 40-60 ft. wide","Full sun, part shade","Moist, well-drained soil, Wet soil",4.5 to 7.5,Early Spring,Inconspicuous,USDA 3a-9a,Eastern United States,Null,Null,Null,Null,Null,Null,Null,Sapindaceae,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/silver-maple-growing-guide-5199780,"If grown in the proper conditions and region, your silver maple should not require supplemental watering once it is established. Until that time, you will want to water your tree abundantly when you plant it and weekly for the first two seasons until you can be sure it's established. Follow the rule of 2 to 3 gallons of water per caliper inch of trunk diameter. After the second year, let mother nature do its thing and only lend a hand in times of drought and only if the tree looks like it's struggling."
"Spineless yucca, stick yucca, giant yucca",Yucca elephantipes,Null,Evergreen,"15 to 30 ft. tall outdoors, and 5 ft. tall indoors",Full sun,"Sandy, well-draining","Acidic, neutral, or alkaline",Spring and summer,White,USDA Zones 9 to 11,Mexico,"Toxic to cats, dogs, and horses",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/spineless-yucca-plant-profile-5158420,"Avoid overwatering spineless yucca, which can cause problems with root rot. Always allow the soil to dry out between waterings. These hardy plants are drought tolerant and do not like being overwatered."
'Golden Oriole' azalea,Rhododendron 'Golden Oriole',Null,Deciduous flowering shrub,6 ft. tall by 4-6 ft. wide,Full sun to part sun,"Moderately rich, well-drained, evenly moist",4.5-5.5,Early spring,Orange and yellow,5-8 (USDA),NA; hybrid with genetic parentage in North America and Asia,Toxic to humans and pets,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/golden-oriole-azalea-bushes-2132717,Water 'Golden Oriole' azalea so as to keep the soil moist but not waterlogged at all times.
 Fragrant sumac, Rhus aromatica, Anacardiaceae, Deciduous shrub," 3-5 ft. tall, creeping", Full to part sun, Adaptable, 4.5 to 8.0," March, April","Inconspicuous, yellow", 3-9 (USDA),Southern Canada to the Southern USA,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/fragrant-sumac-growing-guide-5498995,"One great use of fragrant sumac is a hedge or ground cover in water-wise gardens. The species is very drought tolerant and holds well to low moisture environments. Even in the early onset, when the plant needs to establish itself, it can deal with less water than most plants. That does not mean it should be neglected completely; like any young plant, it should be watered regularly when newly planted, but fragrant sumac can withstand a bit more time between watering. Once the plant is established, this trait makes it perfect for xeriscaping in moderate climates."
